config,blend_mc,sma,vol_lookback,vix,horizon,n,cov80,cov50,bias_pct,mae_pct,dir_acc,naive_mae,skill
30%-MC,0.3,200,252,False,1mo,1260,83.01587301587303,53.80952380952381,-0.4858444423102626,6.112372899058207,52.38095238095239,6.099731338754908,-0.002072478212766571
30%-MC,0.3,200,252,False,3mo,1260,81.34920634920636,50.15873015873016,-1.7238021209712142,11.045383590971216,50.63492063492063,10.877353815488004,-0.015447670300469563
30%-MC,0.3,200,252,False,6mo,1260,81.66666666666667,52.77777777777778,-3.5570174835301502,15.470977629189454,53.57142857142857,15.12269501292958,-0.023030459581582452
30%-MC,0.3,200,252,False,1yr,1260,78.65079365079364,50.15873015873016,-7.776347790566567,22.530958725700827,58.88888888888889,22.10324407656737,-0.019350763519229153
30%-MC + VIX,0.3,200,252,True,1mo,1260,83.33333333333334,53.17460317460318,-0.49828305507175125,6.120223082689691,51.90476190476191,6.099731338754908,-0.0033594502440768004
30%-MC + VIX,0.3,200,252,True,3mo,1260,81.26984126984127,50.63492063492063,-1.7475067156757065,11.066817956421737,50.39682539682539,10.877353815488004,-0.01741821992256609
30%-MC + VIX,0.3,200,252,True,6mo,1260,81.66666666666667,51.98412698412699,-3.62811684595385,15.503301568279685,53.333333333333336,15.12269501292958,-0.025167905259260603
30%-MC + VIX,0.3,200,252,True,1yr,1260,79.04761904761905,50.23809523809524,-7.8862630037319255,22.611508790499286,57.85714285714286,22.10324407656737,-0.0229950278869131
50/50,0.5,200,252,False,1mo,1260,83.65079365079366,53.96825396825397,-0.3608459662641302,6.11822449551721,53.25396825396825,6.099731338754908,-0.0030317985719805485
50/50,0.5,200,252,False,3mo,1260,81.5079365079365,50.95238095238095,-1.2831255615403367,11.153840507217735,50.79365079365079,10.877353815488004,-0.02541856194252401
50/50,0.5,200,252,False,6mo,1260,81.66666666666667,52.85714285714286,-2.585876175744415,15.847684020071698,54.6031746031746,15.12269501292958,-0.047940463424162694
50/50,0.5,200,252,False,1yr,1260,77.77777777777779,50.23809523809524,-5.4111035169469615,23.67590203437545,58.01587301587302,22.10324407656737,-0.07115054932028397
50/50 + VIX,0.5,200,252,True,1mo,1260,83.57142857142857,54.047619047619044,-0.3731336120351155,6.127863527372104,52.77777777777778,6.099731338754908,-0.004612037326702678
50/50 + VIX,0.5,200,252,True,3mo,1260,81.11111111111111,51.34920634920634,-1.3067436177919645,11.185664602922396,50.23809523809524,10.877353815488004,-0.028344282319418213
50/50 + VIX,0.5,200,252,True,6mo,1260,81.98412698412699,52.539682539682545,-2.646739134316816,15.907453499444523,54.12698412698413,15.12269501292958,-0.051892766854320094
50/50 + VIX,0.5,200,252,True,1yr,1260,78.41269841269842,50.87301587301587,-5.479343260548479,23.792034283592272,57.61904761904761,22.10324407656737,-0.07640463097519978
pure-MC,1.0,200,252,False,1mo,1260,82.61904761904762,55.952380952380956,0.1717807738140982,6.265478216451249,53.57142857142857,6.099731338754908,-0.02717281606212074
pure-MC,1.0,200,252,False,3mo,1260,77.06349206349206,49.920634920634924,0.5529730521800361,12.14388805419215,50.95238095238095,10.877353815488004,-0.1164377163957615
pure-MC,1.0,200,252,False,6mo,1260,74.92063492063492,45.55555555555556,1.5773487527854921,18.708654226255646,55.07936507936508,15.12269501292958,-0.23712434921554326
pure-MC,1.0,200,252,False,1yr,1260,66.34920634920634,38.57142857142858,4.9473737251815795,32.13338861241442,57.936507936507944,22.10324407656737,-0.4537860823099922
pure-MC + VIX,1.0,200,252,True,1mo,1260,82.46031746031746,55.47619047619048,0.1407161344074134,6.284158704978416,52.93650793650794,6.099731338754908,-0.03023532611210933
pure-MC + VIX,1.0,200,252,True,3mo,1260,77.22222222222223,48.96825396825397,0.48948833669198966,12.231510323754547,50.63492063492063,10.877353815488004,-0.1244931930354598
pure-MC + VIX,1.0,200,252,True,6mo,1260,74.52380952380952,44.920634920634924,1.4188565824331156,18.848204491985832,54.52380952380952,15.12269501292958,-0.24635221935448826
pure-MC + VIX,1.0,200,252,True,1yr,1260,66.03174603174602,37.93650793650794,4.7141514730586165,32.26517055118066,57.61904761904761,22.10324407656737,-0.4597481907819312
pure-MR,0.0,200,252,False,1mo,1260,82.46031746031746,52.38095238095239,-0.910376841875474,6.126359733917943,47.93650793650794,6.099731338754908,-0.004365502951556355
pure-MR,0.0,200,252,False,3mo,1260,79.2063492063492,47.77777777777778,-2.99926272353451,10.968488948945986,43.492063492063494,10.877353815488004,-0.008378428706457663
pure-MR,0.0,200,252,False,6mo,1260,77.46031746031747,47.460317460317455,-6.026206002326027,15.26141005007055,40.55555555555556,15.12269501292958,-0.009172639997194532
pure-MR,0.0,200,252,False,1yr,1260,71.19047619047619,41.74603174603175,-12.37544534314795,22.156738231568784,51.90476190476191,22.10324407656737,-0.0024201947377546773
pure-MR + VIX,0.0,200,252,True,1mo,1260,81.5079365079365,51.746031746031754,-0.911633025674849,6.126021353674449,47.85714285714286,6.099731338754908,-0.004310028337233041
pure-MR + VIX,0.0,200,252,True,3mo,1260,79.28571428571428,46.666666666666664,-2.9991838551499597,10.977321458931572,43.41269841269841,10.877353815488004,-0.009190437779198257
pure-MR + VIX,0.0,200,252,True,6mo,1260,77.14285714285715,46.74603174603175,-6.019733927410354,15.26606055721379,40.79365079365079,15.12269501292958,-0.009480158408381234
pure-MR + VIX,0.0,200,252,True,1yr,1260,71.66666666666667,40.63492063492063,-12.377558813511444,22.157607016940158,51.90476190476191,22.10324407656737,-0.0024595005232928013
